#time (s), temperature (K), gate voltage (V), leakage current (A), resistance (ohm), phase (), demodulation duration (s)
3.6098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0281840971e+02, -1.6675311202e-02, 1.1228891429e-01
3.7098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0360547674e+02, 8.3942849525e-02, 1.0561828571e-01
3.8098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1515646300e+02, -8.2062616379e-02, 1.0784182857e-01
3.9098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1165422717e+02, -5.9439938834e-02, 9.8947657143e-02
4.0098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1246917016e+02, -2.1829661229e-01, 1.0895360000e-01
4.1098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 8.3460596297e+01, 8.7974152943e-02, 1.0561828571e-01
4.2098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0070105794e+02, 1.4591138223e-01, 1.0561828571e-01
4.3098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 9.3859371315e+01, 8.2442155438e-02, 1.0450651429e-01
4.4098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.0839776790e+02, -1.8013462069e-01, 1.0450651429e-01
4.5098999977e+01, -1.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 1.1554194353e+02, 1.3131683518e-01, 1.0450651429e-01
